individual,date,treatment,replicate,censored,time
434,08.11.17,pisi,15,1,55
435,08.11.17,pisi,15,1,55
436,08.11.17,pisi,15,1,72
437,08.11.17,pisi,15,1,72
438,08.11.17,pisi,15,1,72
439,08.11.17,pisi,15,1,72
440,08.11.17,pisi,15,1,72
441,08.11.17,pisi,15,1,72
442,08.11.17,pisi,15,1,72
443,08.11.17,pisi,15,0,72
444,08.11.17,pisi,15,0,72
445,08.11.17,pisi,15,0,72
446,08.11.17,pisi,15,0,72
447,08.11.17,pisi,15,0,72
448,08.11.17,pisi,15,0,72
449,08.11.17,pisi,15,0,72
450,08.11.17,pisi,15,0,72
451,08.11.17,pisi,15,0,72
452,08.11.17,pisi,15,0,72
453,08.11.17,pisi,15,0,72
454,08.11.17,pisi,15,0,72
455,08.11.17,pisi,15,0,72
456,08.11.17,pisi,15,0,72
457,08.11.17,pisi,15,0,72
458,08.11.17,pisi,15,0,72
459,08.11.17,pisi,15,0,72
460,08.11.17,pisi,15,0,72
461,08.11.17,pisi,15,0,72
462,08.11.17,pisi,15,0,72
463,08.11.17,pisi,15,0,72
464,08.11.17,pisi,15,0,72
465,08.11.17,pisi,15,0,72
466,08.11.17,pisi,15,0,72
467,08.11.17,pisi,15,0,72
468,08.11.17,pisi,15,0,72
469,08.11.17,pisi,15,0,72
470,08.11.17,pisi,15,0,72
471,08.11.17,pisi,15,0,72
472,08.11.17,pisi,15,0,72
473,08.11.17,pisi,15,0,72
474,08.11.17,pisi,15,0,72
475,08.11.17,pisi,15,0,72
476,08.11.17,pisi,15,0,72
477,08.11.17,pisi,15,0,72
478,08.11.17,pisi,15,0,72
479,08.14.17,pisi,16,1,6
480,08.14.17,pisi,16,1,6
481,08.14.17,pisi,16,1,6
482,08.14.17,pisi,16,1,24
483,08.14.17,pisi,16,1,24
484,08.14.17,pisi,16,1,24
485,08.14.17,pisi,16,1,24
486,08.14.17,pisi,16,1,24
487,08.14.17,pisi,16,1,24
488,08.14.17,pisi,16,1,24
489,08.14.17,pisi,16,1,31
490,08.14.17,pisi,16,1,48
491,08.14.17,pisi,16,1,55
492,08.14.17,pisi,16,1,55
493,08.14.17,pisi,16,1,72
494,08.14.17,pisi,16,1,72
495,08.14.17,pisi,16,1,72
496,08.14.17,pisi,16,1,72
497,08.14.17,pisi,16,0,72
498,08.14.17,pisi,16,0,72
499,08.14.17,pisi,16,0,72
500,08.14.17,pisi,16,0,72
501,08.14.17,pisi,16,0,72
502,08.14.17,pisi,16,0,72
503,08.14.17,pisi,16,0,72
504,08.14.17,pisi,16,0,72
505,08.14.17,pisi,16,0,72
506,08.14.17,pisi,16,0,72
507,08.14.17,pisi,16,0,72
508,08.14.17,pisi,16,0,72
509,08.14.17,pisi,16,0,72
510,08.14.17,pisi,16,0,72
511,08.14.17,pisi,16,0,72
512,08.14.17,pisi,16,0,72
513,08.14.17,pisi,16,0,72
514,08.14.17,pisi,16,0,72
515,08.14.17,pisi,16,0,72
516,08.14.17,pisi,16,0,72
517,08.14.17,pisi,16,0,72
518,08.14.17,pisi,16,0,72
519,08.14.17,pisi,16,0,72
520,08.14.17,pisi,16,0,72
521,08.14.17,pisi,16,0,72
522,08.14.17,pisi,16,0,72
523,08.14.17,pisi,16,0,72
524,08.14.17,pisi,16,0,72
525,08.14.17,pisi,16,0,72
526,08.14.17,pisi,16,0,72
527,08.14.17,pisi,16,0,72
528,08.14.17,pisi,16,0,72
529,08.14.17,pisi,16,0,72
530,08.14.17,pisi,16,0,72
531,08.14.17,pisi,16,0,72
532,08.14.17,pisi,16,0,72
533,08.14.17,pisi,16,0,72
534,08.14.17,pisi,16,0,72
535,08.14.17,pisi,16,0,72
536,08.14.17,pisi,16,0,72
537,08.14.17,pisi,16,0,72
538,08.14.17,pisi,16,0,72
539,08.14.17,pisi,16,0,72
540,08.14.17,pisi,16,0,72
541,08.14.17,pisi,16,0,72
542,08.14.17,pisi,16,0,72
543,08.14.17,pisi,16,0,72
544,08.14.17,pisi,16,0,72
545,08.14.17,pisi,16,0,72
546,08.14.17,pisi,16,0,72
547,08.14.17,pisi,16,0,72
548,08.14.17,pisi,16,0,72
549,08.14.17,pisi,16,0,72
550,08.14.17,pisi,16,0,72
551,08.14.17,pisi,16,0,72
552,08.14.17,pisi,16,0,72
553,08.14.17,pisi,16,0,72
554,08.14.17,pisi,16,0,72
555,08.14.17,pisi,16,0,72
556,08.14.17,pisi,16,0,72
557,08.14.17,pisi,16,0,72
558,08.14.17,pisi,16,0,72
559,08.14.17,pisi,16,0,72
560,08.14.17,pisi,16,0,72
561,08.14.17,pisi,16,0,72
562,08.14.17,pisi,16,0,72
563,08.14.17,pisi,16,0,72
564,08.14.17,pisi,16,0,72
565,08.14.17,pisi,16,0,72
566,08.14.17,pisi,16,0,72
567,08.14.17,pisi,16,0,72
568,08.14.17,pisi,16,0,72
569,08.14.17,pisi,16,0,72
570,08.14.17,pisi,16,0,72
571,08.14.17,pisi,16,0,72
572,08.14.17,pisi,16,0,72
573,08.14.17,pisi,16,0,72
574,08.14.17,pisi,16,0,72
575,08.15.17,pisi,17,1,24
576,08.15.17,pisi,17,1,24
577,08.15.17,pisi,17,1,24
578,08.15.17,pisi,17,1,24
579,08.15.17,pisi,17,1,24
580,08.15.17,pisi,17,1,31
581,08.15.17,pisi,17,1,31
582,08.15.17,pisi,17,1,31
583,08.15.17,pisi,17,1,48
584,08.15.17,pisi,17,1,48
585,08.15.17,pisi,17,1,48
586,08.15.17,pisi,17,1,48
587,08.15.17,pisi,17,1,72
588,08.15.17,pisi,17,0,72
589,08.15.17,pisi,17,0,72
590,08.15.17,pisi,17,0,72
591,08.15.17,pisi,17,0,72
592,08.15.17,pisi,17,0,72
593,08.15.17,pisi,17,0,72
594,08.15.17,pisi,17,0,72
595,08.15.17,pisi,17,0,72
596,08.15.17,pisi,17,0,72
597,08.15.17,pisi,17,0,72
598,08.15.17,pisi,17,0,72
599,08.15.17,pisi,17,0,72
600,08.15.17,pisi,17,0,72
601,08.15.17,pisi,17,0,72
602,08.15.17,pisi,17,0,72
603,08.15.17,pisi,17,0,72
604,08.15.17,pisi,17,0,72
605,08.15.17,pisi,17,0,72
606,08.15.17,pisi,17,0,72
607,08.15.17,pisi,17,0,72
608,08.15.17,pisi,17,0,72
609,08.15.17,pisi,17,0,72
610,08.15.17,pisi,17,0,72
611,08.15.17,pisi,17,0,72
612,08.15.17,pisi,17,0,72
613,08.15.17,pisi,17,0,72
614,08.15.17,pisi,17,0,72
615,08.15.17,pisi,17,0,72
616,08.15.17,pisi,17,0,72
617,08.15.17,pisi,17,0,72
618,08.15.17,pisi,17,0,72
619,08.15.17,pisi,17,0,72
620,08.15.17,pisi,17,0,72
621,08.15.17,pisi,17,0,72
622,08.15.17,pisi,17,0,72
623,08.15.17,pisi,17,0,72
624,08.15.17,pisi,17,0,72
625,08.15.17,pisi,17,0,72
626,08.15.17,pisi,17,0,72
627,08.15.17,pisi,17,0,72
628,08.15.17,pisi,17,0,72
629,08.15.17,pisi,17,0,72
630,08.15.17,pisi,17,0,72
631,08.15.17,pisi,17,0,72
632,08.15.17,pisi,17,0,72
633,08.15.17,pisi,17,0,72
634,08.15.17,pisi,17,0,72
635,08.15.17,pisi,17,0,72
636,08.15.17,pisi,17,0,72
637,08.15.17,pisi,17,0,72
638,08.15.17,pisi,17,0,72
639,08.15.17,pisi,17,0,72
640,08.15.17,pisi,17,0,72
641,08.15.17,pisi,17,0,72
642,08.15.17,pisi,17,0,72
643,08.15.17,pisi,17,0,72
644,08.15.17,pisi,17,0,72
645,08.15.17,pisi,17,0,72
646,08.15.17,pisi,17,0,72
647,08.15.17,pisi,17,0,72
648,08.15.17,pisi,17,0,72
649,08.15.17,pisi,17,0,72
650,08.15.17,pisi,17,0,72
651,08.15.17,pisi,17,0,72
652,08.15.17,pisi,17,0,72
653,08.15.17,pisi,17,0,72
654,08.15.17,pisi,17,0,72
655,08.15.17,pisi,17,0,72
656,08.15.17,pisi,17,0,72
657,08.15.17,pisi,17,0,72
658,08.15.17,pisi,17,0,72
659,08.15.17,pisi,17,0,72
660,08.15.17,pisi,17,0,72
661,08.15.17,pisi,17,0,72
662,08.15.17,pisi,17,0,72
663,08.15.17,pisi,17,0,72
664,08.15.17,pisi,17,0,72
665,08.15.17,pisi,17,0,72
666,08.15.17,pisi,17,0,72
667,08.15.17,pisi,17,0,72
668,08.15.17,pisi,17,0,72
669,08.15.17,pisi,17,0,72
670,08.15.17,pisi,17,0,72
671,9/19/22,194,1,1,24
672,9/19/22,194,1,1,24
673,9/19/22,194,1,1,24
674,9/19/22,194,1,1,24
675,9/19/22,194,1,1,24
676,9/19/22,194,1,1,24
677,9/19/22,194,1,1,24
678,9/19/22,194,1,1,24
679,9/19/22,194,1,1,24
680,9/19/22,194,1,1,24
681,9/19/22,194,1,1,24
682,9/19/22,194,1,1,24
683,9/19/22,194,1,1,24
684,9/19/22,194,1,1,24
685,9/19/22,194,1,1,24
686,9/19/22,194,1,1,24
687,9/19/22,194,1,1,24
688,9/19/22,194,1,1,48
689,9/19/22,194,1,1,48
690,9/19/22,194,1,1,48
691,9/19/22,194,1,1,48
692,9/19/22,194,1,1,48
693,9/19/22,194,1,1,48
694,9/19/22,194,1,1,48
695,9/19/22,194,1,1,48
696,9/19/22,194,1,1,48
697,9/19/22,194,1,1,48
698,9/19/22,194,1,1,48
699,9/19/22,194,1,1,48
700,9/19/22,194,1,1,48
701,9/19/22,194,1,1,48
702,9/19/22,194,1,1,48
703,9/19/22,194,1,1,48
704,9/19/22,194,1,1,48
705,9/19/22,194,1,1,48
706,9/19/22,194,1,1,48
707,9/19/22,194,1,1,48
708,9/19/22,194,1,1,48
709,9/19/22,194,1,1,48
710,9/19/22,194,1,1,48
711,9/19/22,194,1,1,48
712,9/19/22,194,1,1,48
713,9/19/22,194,1,1,48
714,9/19/22,194,1,1,48
715,9/19/22,194,1,1,48
716,9/19/22,194,1,1,48
717,9/19/22,194,1,1,48
718,9/19/22,194,1,1,48
719,9/19/22,194,1,1,48
720,9/19/22,194,1,1,48
721,9/19/22,194,1,1,48
722,9/19/22,194,1,1,48
723,9/19/22,194,1,1,48
724,9/19/22,194,1,1,48
725,9/19/22,194,1,1,48
726,9/19/22,194,1,1,48
727,9/19/22,194,1,1,48
728,9/19/22,194,1,1,48
729,9/19/22,194,1,1,48
730,9/19/22,194,1,1,48
731,9/19/22,194,1,1,48
732,9/19/22,194,1,1,48
733,9/19/22,194,1,1,48
734,9/19/22,194,1,1,48
735,9/19/22,194,1,1,48
736,9/19/22,194,1,1,48
737,9/19/22,194,1,1,48
738,9/19/22,194,1,1,48
739,9/19/22,194,1,1,48
740,9/19/22,194,1,1,48
741,9/19/22,194,1,1,48
742,9/19/22,194,1,1,48
743,9/19/22,194,1,1,48
744,9/19/22,194,1,1,48
745,9/19/22,194,1,1,48
746,9/19/22,194,1,1,48
747,9/19/22,194,1,1,48
748,9/19/22,194,1,1,48
749,9/19/22,194,1,1,48
750,9/19/22,194,1,1,48
751,9/19/22,194,1,1,48
752,9/19/22,194,1,1,48
753,9/19/22,194,1,1,72
754,9/19/22,194,1,0,72
755,9/19/22,194,1,0,72
756,9/19/22,194,1,0,72
757,9/19/22,194,1,0,72
758,9/19/22,194,1,0,72
759,9/19/22,194,1,0,72
760,9/19/22,194,1,0,72
761,9/19/22,194,1,0,72
762,9/19/22,194,1,0,72
763,9/19/22,194,1,0,72
764,9/19/22,194,1,0,72
765,9/19/22,194,1,0,72
